sku,qty,is_in_stock
125095,0,0
125096,6,1
125097,1,1
125099,0,0
125100,4,1
125101,3,1
125102,3,1
125103,3,1
125104,0,0
125105,2,1
125106,0,0
125107,0,0
125108,0,0
125109,3,1
125110,-1,0
125111,2,1
125112,8708,1
125114,4,1
125115,0,0
125116,0,0
125117,0,0
125118,4,1
125119,3,1
125120,3,1
125121,0,0
125123,0,0
125125,0,0
125126,247,1
125127,0,0
125128,0,0
125129,0,0
125130,0,0
125131,3,1
125132,0,0
125133,0,0
125134,0,0
125135,0,0
125136,0,0
125140,0,0
125141,0,0
125142,-1,0
125143,0,0
125144,0,0
125145,0,0
125146,0,0
125147,0,0
125148,0,0
125149,0,0
125150,0,0
125151,0,0
125152,0,0
125153,0,0
125154,0,0
125155,0,0
125156,0,0
125157,0,0
125158,0,0
125159,0,0
125160,0,0
125161,0,0
125162,0,0
125163,0,0
125164,0,0
125165,0,0
125166,0,0
125167,0,0
125168,0,0
125169,0,0
125170,0,0
125171,0,0
125172,0,0
125176,0,0
125177,0,0
125178,3,1
125179,13,1
125180,0,0
125181,0,0
125182,5,1
125183,0,0
125184,2,1
125185,0,0
125186,0,0
125187,0,0
125188,0,0
125189,0,0
125190,0,0
125192,0,0
125193,0,0
125194,0,0
125195,41,1
125196,0,0
125197,0,0
125198,0,0
125199,0,0
125200,0,0
125201,0,0
125202,0,0
125203,0,0
125204,0,0
125205,0,0
125206,0,0
125207,0,0
125208,0,0
125209,0,0
125210,0,0
125211,0,0
125212,7,1
125213,0,0
125215,0,0
125216,-1,0
125217,0,0
125218,0,0
125219,0,0
125220,0,0
125221,0,0
125222,0,0
125223,0,0
125224,0,0
125225,0,0
125226,0,0
125227,0,0
125228,0,0
125229,0,0
125230,0,0
125231,0,0
125232,0,0
125233,0,0
125234,0,0
125235,1,1
125236,0,0
125237,0,0
125238,0,0
125239,0,0
125240,-44,0
125241,0,0
125242,0,0
125243,0,0
125244,0,0
125245,0,0
125246,0,0
125247,0,0
125248,0,0
125249,0,0
125250,0,0
125251,0,0
125252,0,0
125253,0,0
125254,6,1
125255,10,1
125256,1,1
125257,4,1
125258,0,0
125259,3,1
125260,0,0
125261,0,0
125262,0,0
125263,0,0
125264,0,0
125265,3,1
125266,3,1
125267,415,1
125268,346,1
125269,0,0
125270,8,1
125271,4,1
125272,10,1
125273,0,0
125274,3,1
125275,0,0
125276,0,0
125277,0,0
125278,0,0
125279,0,0
125280,0,0
